shipping_mode,total_order,late_order,late_rate,order_month
First Class,313,290,92.65175719,2017-12
Second Class,416,324,77.88461538,2017-12
Same Day,130,79,60.76923077,2017-12
Standard Class,1265,479,37.86561265,2017-12
First Class,310,294,94.83870968,2017-11
Second Class,411,315,76.64233577,2017-11
Same Day,107,53,49.53271028,2017-11
Standard Class,1227,470,38.30480848,2017-11
First Class,352,338,96.02272727,2017-10
Second Class,418,317,75.83732057,2017-10
Same Day,110,49,44.54545455,2017-10
Standard Class,1375,506,36.8,2017-10
First Class,790,739,93.5443038,2017-09
Second Class,1027,779,75.85199611,2017-09
Same Day,282,169,59.92907801,2017-09
Standard Class,3090,1127,36.47249191,2017-09
First Class,832,784,94.23076923,2017-08
Second Class,1112,885,79.58633094,2017-08
Same Day,275,130,47.27272727,2017-08
Standard Class,3086,1195,38.72326636,2017-08
First Class,778,740,95.11568123,2017-07
Second Class,1083,844,77.93167128,2017-07
Same Day,368,211,57.33695652,2017-07
Standard Class,3089,1118,36.1929427,2017-07
First Class,733,710,96.8622101,2017-06
Second Class,908,634,69.82378855,2017-06
Same Day,238,116,48.7394958,2017-06
Standard Class,3072,1189,38.70442708,2017-06
First Class,916,835,91.15720524,2017-05
Second Class,950,712,74.94736842,2017-05
Same Day,277,121,43.68231047,2017-05
Standard Class,3174,1175,37.01953371,2017-05
First Class,749,711,94.92656876,2017-04
Second Class,1055,790,74.88151659,2017-04
Standard Class,3165,1220,38.54660348,2017-04
Same Day,243,82,33.74485597,2017-04
First Class,864,818,94.67592593,2017-03
Second Class,999,756,75.67567568,2017-03
Same Day,295,162,54.91525424,2017-03
Standard Class,3189,1219,38.22514895,2017-03
First Class,717,681,94.9790795,2017-02
Second Class,977,728,74.51381781,2017-02
Same Day,303,153,50.4950495,2017-02
Standard Class,2909,1120,38.50120316,2017-02
First Class,667,639,95.80209895,2017-01
Second Class,1000,780,78,2017-01
Same Day,267,129,48.31460674,2017-01
Standard Class,3283,1249,38.04447152,2017-01
First Class,973,927,95.27235355,2016-12
Second Class,919,717,78.01958651,2016-12
Same Day,234,109,46.58119658,2016-12
Standard Class,3143,1201,38.21189946,2016-12
First Class,771,738,95.71984436,2016-11
Second Class,1033,823,79.67086157,2016-11
Same Day,274,111,40.51094891,2016-11
Standard Class,3132,1174,37.48403576,2016-11
First Class,857,845,98.59976663,2016-10
Second Class,1030,750,72.81553398,2016-10
Same Day,341,134,39.29618768,2016-10
Standard Class,3170,1228,38.73817035,2016-10
First Class,838,803,95.82338902,2016-09
Second Class,966,739,76.5010352,2016-09
Standard Class,3069,1193,38.87259694,2016-09
Same Day,287,102,35.54006969,2016-09
First Class,813,784,96.43296433,2016-08
Second Class,1058,790,74.66918715,2016-08
Same Day,256,157,61.328125,2016-08
Standard Class,3207,1217,37.94823823,2016-08
First Class,835,773,92.5748503,2016-07
Second Class,960,706,73.54166667,2016-07
Standard Class,3176,1173,36.93324937,2016-07
Same Day,334,103,30.83832335,2016-07
First Class,745,722,96.91275168,2016-06
Second Class,1107,851,76.87443541,2016-06
Same Day,270,145,53.7037037,2016-06
Standard Class,2932,1155,39.39290587,2016-06
First Class,838,795,94.86873508,2016-05
Second Class,1078,860,79.77736549,2016-05
Same Day,320,133,41.5625,2016-05
Standard Class,3066,1163,37.93215917,2016-05
First Class,774,743,95.99483204,2016-04
Second Class,1004,789,78.58565737,2016-04
Same Day,255,114,44.70588235,2016-04
Standard Class,3064,1169,38.15274151,2016-04
First Class,875,833,95.2,2016-03
Second Class,976,767,78.58606557,2016-03
Same Day,272,138,50.73529412,2016-03
Standard Class,3087,1167,37.80369291,2016-03
First Class,682,639,93.69501466,2016-02
Second Class,911,696,76.39956092,2016-02
Standard Class,3061,1238,40.44429925,2016-02
Same Day,240,77,32.08333333,2016-02
First Class,791,748,94.56384324,2016-01
Second Class,1132,860,75.97173145,2016-01
Same Day,324,149,45.98765432,2016-01
Standard Class,3070,1198,39.0228013,2016-01
First Class,840,790,94.04761905,2015-12
Second Class,1041,824,79.15465898,2015-12
Standard Class,3162,1203,38.0455408,2015-12
Same Day,328,120,36.58536585,2015-12
First Class,779,755,96.91912709,2015-11
Second Class,1054,798,75.71157495,2015-11
Same Day,265,109,41.13207547,2015-11
Standard Class,3137,1179,37.58367867,2015-11
First Class,898,839,93.4298441,2015-10
Second Class,948,726,76.58227848,2015-10
Same Day,271,156,57.56457565,2015-10
Standard Class,3185,1185,37.20565149,2015-10
First Class,798,781,97.86967419,2015-09
Second Class,1029,805,78.23129252,2015-09
Standard Class,3072,1247,40.59244792,2015-09
Same Day,241,81,33.60995851,2015-09
First Class,889,871,97.97525309,2015-08
Second Class,1109,845,76.19477006,2015-08
Same Day,264,114,43.18181818,2015-08
Standard Class,3011,1106,36.73198273,2015-08
First Class,768,753,98.046875,2015-07
Second Class,1004,833,82.96812749,2015-07
Standard Class,3141,1211,38.55460045,2015-07
Same Day,386,142,36.78756477,2015-07
First Class,741,713,96.22132254,2015-06
Second Class,989,740,74.82305359,2015-06
Same Day,252,108,42.85714286,2015-06
Standard Class,3152,1217,38.61040609,2015-06
First Class,960,883,91.97916667,2015-05
Second Class,931,718,77.12137487,2015-05
Same Day,263,150,57.03422053,2015-05
Standard Class,3203,1200,37.46487668,2015-05
First Class,715,677,94.68531469,2015-04
Second Class,1034,778,75.2417795,2015-04
Same Day,242,129,53.30578512,2015-04
Standard Class,3135,1176,37.51196172,2015-04
First Class,861,841,97.67711963,2015-03
Second Class,1034,785,75.91876209,2015-03
Same Day,286,114,39.86013986,2015-03
Standard Class,3181,1196,37.59823955,2015-03
First Class,733,695,94.81582538,2015-02
Second Class,977,738,75.53735926,2015-02
Same Day,262,136,51.90839695,2015-02
Standard Class,2757,1025,37.17809213,2015-02
First Class,691,665,96.23733719,2015-01
Second Class,1091,842,77.17690192,2015-01
Same Day,255,119,46.66666667,2015-01
Standard Class,3285,1254,38.17351598,2015-01
